indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
2020-04-01,75009.59663855402,23142.654714237968,75009596.63855001,71798954.70953001,3210641.9290200006,75009596.63855001,22263621.147818018,20850415.685067005,28559526.139535002,3336033.66613,75009596.63855001,54905216.88272,7039345.747440001,23511297.2349,2723790.46888,9518952.156040002,8667536.044389999,2981509.854250001,462785.37681999995,10786534.82835,1071185.0036599997,3758966.100660001,4487693.823164
2020-05-01,78594.52182045302,24012.676328922764,78594521.82045001,74966605.02587001,3627916.7945800005,78594521.82045001,24917663.393409997,19703362.398560006,29750672.202390008,4222823.82609,78594521.82045001,54285024.123542,7437048.0772899985,22865786.669689998,2588780.4740710002,9450381.786705,8676036.988140002,2771794.5182680013,495195.6093780001,11160547.922520002,2199429.0915409997,5705563.4648400005,5243957.21801
2020-06-01,78232.85960185599,23449.543028817643,78232859.60185996,74554853.95878996,3678005.64307,78232859.60185996,24031410.143659983,20569940.21072799,29332592.009099998,4298917.23837,78232859.60185996,53685318.328287005,7839895.91612,22614018.901164997,2512756.0308870003,9239346.590983,8376343.244302001,2610763.0102969995,492194.634533,10828484.986999998,2556936.805372,5726204.1957,5435915.2854969995
2020-07-01,81140.69622145995,23791.36751520022,81140696.22145997,76413721.76438998,4726974.45707,81140696.22145997,24935747.285053004,22143208.629241403,29569224.40345899,4492515.9037,81140696.22145997,55359666.66118,8048539.859389999,23393038.407629997,2630487.79101,9592798.11519,8463266.122629998,2712593.8277299996,518942.5376,11217153.189450001,2502616.6185000003,6125265.83921,5935993.913120001
2020-08-01,80411.97328758003,22953.005491091488,80411973.28758001,76406528.27118002,4005445.0164,80411973.28758001,24868416.64602999,21188270.691566993,29644413.805833004,4710872.144150001,80411973.28758001,55526501.796220005,8262233.876840003,22891446.999149997,2684429.992779999,9681663.0829,8611272.961890003,2842695.030080001,552759.8525800001,11365760.889539998,1651664.5783599995,5086198.951540001,6781847.07192
2020-09-01,77055.77435700996,21628.031776779153,77055774.35700998,73111415.16161998,3944359.19539,77055774.35700998,24268469.258773003,20660854.9840306,27583639.698399987,4542810.41581,77055774.35700998,53998395.65966,8164340.13614,22018485.448680002,2574722.638589999,9349357.228209998,8411476.0623,2932524.2403599992,547489.9053800002,11089691.91519,1599708.8727499996,4776635.481509999,5591342.4279000005
2020-10-01,89224.28105372799,24095.3382187538,89224281.05372998,84622602.74864998,4601678.305080001,89224281.05372998,27348110.49728398,23565536.115426205,33253696.394518994,5056938.0465,89224281.05372998,60214691.697208,9900033.945949998,23772929.5845,2819496.8426400004,10152813.641010001,9440006.039748002,3508831.9935000003,620579.6498600001,12442138.224310001,1961731.8334200005,8080339.485749999,6525379.813040002
2020-11-01,91093.50731224002,24010.693725993668,91093507.31223996,86255330.60578996,4838176.70645,91093507.31223996,28832513.453409992,23551887.32882601,33470452.079113003,5238654.45089,91093507.31223996,60913255.91404001,11401050.50442,23577259.62193001,2712393.48684,9625513.23871,9366000.91511,3600215.44108,630822.70595,12606465.754720002,2071758.2335800002,7962443.790279999,7539583.619620001
2020-12-01,115806.12811517663,29931.10446415699,115806128.11518,111830218.56443,3975909.5507499995,115806128.11518,36284788.051380016,31300615.016610008,41558670.65363998,6662054.393548,115806128.11518,80643208.2984066,19000862.4307321,29052388.41279859,3568526.3015099997,10374402.289710002,13502805.475350002,4262746.5995459,881476.7887600001,14197119.003489997,3022975.19777,7711912.075139999,10230913.540369999
2021-01-01,98007.58325283098,24420.020915074365,98007583.25283,94524545.26598,3483037.9868500005,98007583.25283,31878415.60910801,26481717.359305106,34421611.729676,5225838.554741,98007583.25283,67171235.97265501,12982834.10476,24393220.467840005,2973192.4986529993,10138651.41012,11818373.501102,4076717.8043099996,788246.1858699999,14237729.536586003,2206737.4643900003,6405815.40872,7986064.870480001
